LeaveVote;edlevel;gender;age;hhincome;econPersonalRetro1;EuropeanIdentity;EnglishIdentity;BritishIdentity;female
0;5;1;58;7;2;6;3;3;0
0;4;1;67;3;3;6;5;5;0
0;5;2;67;4;4;7;7;7;1
1;3;2;45;4;3;1;6;6;1
0;5;1;61;7;3;7;3;5;0
1;5;1;37;8;4;7;7;7;0
0;4;2;64;7;2;4;5;6;1
1;5;1;53;4;3;4;7;7;0
0;5;2;54;6;2;5;1;5;1
0;4;1;40;8;2;5;6;5;0
0;4;1;41;8;2;7;7;7;0
0;4;1;63;7;3;7;7;7;0
1;4;1;44;7;2;5;5;5;0
0;4;2;42;4;3;5;5;6;1
0;5;2;46;7;2;6;4;6;1
1;3;1;52;4;3;1;5;5;0
1;2;1;64;3;3;2;1;6;0
0;5;2;37;7;3;2;5;5;1
0;5;2;37;4;4;5;4;5;1
0;4;1;66;7;4;6;4;7;0
1;4;1;64;6;2;7;7;7;0
0;5;1;60;3;3;7;6;6;0
1;0;2;69;5;3;3;7;7;1
1;5;1;51;8;4;5;7;5;0
0;4;2;64;4;3;7;3;7;1
0;5;1;56;7;3;5;1;7;0
1;4;1;63;6;3;2;7;6;0
1;4;1;77;7;2;2;7;4;0
0;4;2;64;6;3;5;7;7;1
1;4;1;55;8;5;1;7;2;0
1;4;1;64;7;2;4;5;7;0
0;2;1;61;4;3;5;4;7;0
0;4;1;68;5;4;2;7;7;0
1;4;1;63;5;4;1;7;7;0
0;4;1;53;4;3;6;1;6;0
1;4;2;29;4;3;2;7;5;1
0;5;1;75;4;3;5;1;6;0
0;5;1;57;5;3;6;7;7;0
1;3;1;59;3;1;5;7;7;0
0;2;2;28;5;2;6;5;4;1
1;5;1;65;4;3;3;6;5;0
0;5;1;60;7;4;5;5;6;0
1;4;1;39;5;3;1;6;5;0
1;4;1;45;6;4;1;4;6;0
1;4;1;55;4;3;5;4;4;0
0;5;1;57;7;4;5;6;5;0
1;4;1;55;6;4;2;5;7;0
0;3;1;57;7;2;4;6;6;0
0;4;2;64;3;3;7;2;6;1
0;5;1;61;6;2;6;7;6;0
0;3;2;77;4;3;5;2;6;1
0;5;1;69;7;3;4;5;7;0
0;3;1;63;2;2;5;5;6;0
1;0;1;66;6;3;1;6;6;0
0;4;1;54;5;4;5;6;7;0
0;5;2;56;4;3;5;2;5;1
1;4;1;44;6;5;7;7;7;0
0;4;1;50;7;3;3;5;5;0
0;4;1;54;5;3;7;3;6;0
0;4;1;58;5;3;5;5;4;0
1;4;1;39;7;3;2;7;7;0
1;2;1;54;3;2;3;7;7;0
1;4;1;61;4;2;1;7;7;0
1;4;2;46;7;1;2;4;4;1
0;5;1;58;4;3;6;7;6;0
0;5;2;62;8;3;6;6;6;1
1;4;1;46;4;3;2;7;7;0
1;4;1;50;4;4;1;1;7;0
0;4;1;40;6;3;6;6;6;0
0;5;1;65;4;3;5;2;5;0
0;5;2;42;4;2;3;5;7;1
0;5;1;67;6;3;7;7;7;0
0;4;1;60;6;4;7;1;7;0
1;5;1;41;4;2;2;1;1;0
0;5;1;63;4;3;6;6;7;0
0;5;1;58;6;4;5;6;6;0
0;4;1;57;7;3;6;6;4;0
0;5;1;66;4;3;7;1;7;0
0;4;1;61;5;3;6;4;5;0
0;4;1;64;7;3;3;4;5;0
0;4;1;75;4;2;5;4;4;0
1;3;1;68;3;2;4;7;7;0
0;4;1;75;3;4;1;1;7;0
1;2;1;59;4;3;6;7;7;0
0;5;1;71;7;3;7;7;7;0
0;2;2;53;2;2;5;6;6;1
1;2;1;65;7;4;1;2;7;0
0;5;1;45;5;2;5;7;7;0
0;3;1;73;4;3;7;7;7;0
1;4;2;70;3;3;4;4;6;1
0;3;1;72;2;2;6;4;5;0
0;5;2;47;7;3;4;4;4;1
1;0;1;74;3;3;3;7;6;0
1;5;1;60;8;2;1;7;7;0
1;4;2;71;4;3;2;4;5;1
1;3;1;39;3;2;3;7;6;0
1;5;1;64;4;3;4;7;4;0
0;4;1;56;8;5;6;6;6;0
1;4;1;56;4;3;1;7;4;0
0;5;1;67;7;2;6;6;6;0
1;2;1;71;7;3;3;7;7;0
0;0;1;74;4;3;5;7;7;0
1;2;1;63;2;1;1;4;7;0
1;3;1;74;2;2;3;7;6;0
1;3;1;81;2;1;1;7;7;0
1;5;1;83;4;2;1;7;7;0
1;5;2;67;3;3;5;7;7;1
1;2;2;69;2;3;2;6;6;1
1;4;1;51;4;3;1;1;1;0
1;4;1;53;1;2;1;7;7;0
0;4;1;44;4;3;4;6;5;0
0;4;1;71;3;2;6;4;5;0
1;0;1;31;4;3;3;6;6;0
0;5;1;57;5;2;6;6;6;0
0;4;2;62;7;2;7;3;6;1
0;5;1;46;8;1;7;5;5;0
0;4;1;67;4;3;5;7;7;0
1;3;2;46;3;3;3;7;4;1
0;5;2;35;6;3;4;5;3;1
1;4;1;71;4;4;1;6;7;0
1;5;1;69;3;4;2;6;5;0
0;4;1;64;3;4;5;6;5;0
0;5;1;73;2;4;7;6;5;0
1;2;1;53;4;3;2;6;6;0
0;4;2;51;3;3;6;2;2;1
1;2;2;42;4;4;3;7;5;1
0;4;1;65;7;4;7;7;7;0
0;2;1;68;6;3;4;5;5;0
1;2;1;73;2;2;3;7;6;0
0;4;2;39;4;2;5;4;5;1
0;5;1;59;4;5;5;1;6;0
0;4;1;53;4;4;4;5;6;0
1;3;1;71;4;2;4;4;7;0
0;4;1;56;8;1;3;4;5;0
0;2;1;52;4;2;6;5;5;0
1;4;1;65;3;3;4;7;7;0
0;4;1;32;4;3;1;3;6;0
1;4;1;65;5;5;4;7;7;0
0;4;1;61;4;2;5;6;6;0
1;3;1;60;8;4;3;7;7;0
0;4;1;56;4;3;4;6;6;0
0;4;1;58;4;2;4;5;6;0
1;4;1;83;3;3;4;7;7;0
1;2;1;77;1;3;4;1;7;0
0;4;1;86;3;4;6;5;6;0
1;4;1;72;4;3;4;7;7;0
1;5;1;48;6;3;5;7;6;0
0;5;2;32;4;3;5;6;6;1
1;4;1;72;4;3;3;1;7;0
1;4;2;77;3;3;1;7;7;1
1;5;1;56;7;1;5;5;6;0
1;3;1;67;7;2;2;7;7;0
1;3;2;58;3;2;3;7;6;1
1;0;2;71;2;4;3;7;6;1
0;5;1;44;7;4;5;6;7;0
0;5;2;65;3;4;1;7;5;1
1;5;2;36;6;3;2;7;7;1
0;4;2;59;3;3;5;6;6;1
0;5;1;68;7;2;7;3;3;0
1;5;1;66;4;4;1;7;4;0
0;3;2;52;6;3;5;7;6;1
0;2;1;64;3;3;7;7;7;0
1;2;1;76;2;3;1;7;7;0
1;4;2;70;2;1;1;7;1;1
0;4;2;57;3;3;7;7;7;1
1;4;2;67;2;3;1;5;1;1
0;0;1;68;3;3;5;7;7;0
1;4;2;55;6;3;1;7;7;1
1;2;1;53;1;3;1;1;5;0
1;5;1;76;2;3;7;7;7;0
0;5;1;68;5;4;6;5;4;0
1;1;1;51;5;3;4;7;5;0
0;0;1;65;2;4;3;7;7;0
0;4;2;44;4;3;4;5;6;1
1;4;1;56;4;2;6;6;6;0
1;2;1;73;2;3;1;7;7;0
0;4;1;43;5;4;7;5;6;0
0;5;1;76;8;3;4;5;6;0
1;4;2;60;4;2;4;7;7;1
1;4;1;57;5;3;1;6;6;0
0;5;1;67;5;3;4;7;4;0
1;3;1;77;5;1;3;7;7;0
1;4;2;84;6;2;4;7;6;1
1;4;1;34;7;3;1;6;6;0
1;4;1;58;1;4;2;6;5;0
1;4;2;56;4;3;1;4;3;1
0;4;1;62;3;3;5;7;7;0
1;4;2;58;3;4;5;6;6;1
0;4;1;62;7;4;7;7;7;0
1;3;1;58;4;2;1;7;7;0
1;2;2;69;4;3;2;7;5;1
1;4;2;66;5;3;4;7;7;1
1;3;1;57;7;4;5;6;7;0
0;5;2;49;7;3;2;6;5;1
1;0;1;73;3;4;2;6;6;0
1;4;2;63;4;3;5;7;6;1
1;2;1;77;5;3;3;6;6;0
0;3;1;66;4;3;5;6;6;0
1;2;1;68;4;3;2;7;3;0
0;3;1;58;2;4;5;7;7;0
1;0;2;78;2;2;1;7;7;1
1;0;1;72;3;3;1;7;1;0
0;0;1;70;4;2;6;7;6;0
1;2;1;50;4;3;4;1;3;0
1;2;2;58;5;3;1;7;7;1
0;4;1;72;5;4;7;7;7;0
1;3;2;71;7;3;3;6;6;1
1;0;1;70;4;4;2;6;6;0
0;4;1;67;3;4;6;7;6;0
1;0;1;70;2;3;3;6;6;0
1;4;1;68;1;2;2;6;6;0
1;2;1;60;5;2;3;7;6;0
0;0;1;60;1;2;7;1;4;0
0;4;1;35;7;3;7;7;7;0
1;4;1;68;4;3;4;7;6;0
0;5;1;66;2;3;6;7;6;0
0;5;2;68;3;3;4;5;5;1
1;4;2;75;4;4;3;6;6;1
0;2;1;68;4;3;6;4;2;0
0;5;2;43;3;3;2;2;2;1
0;4;2;61;4;2;5;6;6;1
1;3;1;64;5;3;4;7;7;0
